available_power_mw,critical_load_mw,served_critical_mw,unserved_critical_mw,islanding_feasible,resilience_score,case,microgrid_bus,local_generation_mw,bess_power_mw
75,25,25,0.0,True,1.0,ieee118,71,50,25
100,25,25,0.0,True,1.0,ieee118,71,50,50
150,25,25,0.0,True,1.0,ieee118,71,50,100
10,50,10,40.0,False,0.2,ieee118,71,10,0
35,50,35,15.0,False,0.7,ieee118,71,10,25
60,50,50,0.0,True,1.0,ieee118,71,10,50
110,50,50,0.0,True,1.0,ieee118,71,10,100
25,50,25,25.0,False,0.5,ieee118,71,25,0
50,50,50,0.0,True,1.0,ieee118,71,25,25
75,50,50,0.0,True,1.0,ieee118,71,25,50
125,50,50,0.0,True,1.0,ieee118,71,25,100
50,50,50,0.0,True,1.0,ieee118,71,50,0
75,50,50,0.0,True,1.0,ieee118,71,50,25
100,50,50,0.0,True,1.0,ieee118,71,50,50
150,50,50,0.0,True,1.0,ieee118,71,50,100
10,100,10,90.0,False,0.1,ieee118,71,10,0
35,100,35,65.0,False,0.35,ieee118,71,10,25
60,100,60,40.0,False,0.6,ieee118,71,10,50
110,100,100,0.0,True,1.0,ieee118,71,10,100
25,100,25,75.0,False,0.25,ieee118,71,25,0
50,100,50,50.0,False,0.5,ieee118,71,25,25
75,100,75,25.0,False,0.75,ieee118,71,25,50
125,100,100,0.0,True,1.0,ieee118,71,25,100
50,100,50,50.0,False,0.5,ieee118,71,50,0
75,100,75,25.0,False,0.75,ieee118,71,50,25
100,100,100,0.0,True,1.0,ieee118,71,50,50
150,100,100,0.0,True,1.0,ieee118,71,50,100
10,25,10,15.0,False,0.4,ieee118,81,10,0
35,25,25,0.0,True,1.0,ieee118,81,10,25
60,25,25,0.0,True,1.0,ieee118,81,10,50
110,25,25,0.0,True,1.0,ieee118,81,10,100
25,25,25,0.0,True,1.0,ieee118,81,25,0
50,25,25,0.0,True,1.0,ieee118,81,25,25
75,25,25,0.0,True,1.0,ieee118,81,25,50
125,25,25,0.0,True,1.0,ieee118,81,25,100
50,25,25,0.0,True,1.0,ieee118,81,50,0
75,25,25,0.0,True,1.0,ieee118,81,50,25
100,25,25,0.0,True,1.0,ieee118,81,50,50
150,25,25,0.0,True,1.0,ieee118,81,50,100
10,50,10,40.0,False,0.2,ieee118,81,10,0
35,50,35,15.0,False,0.7,ieee118,81,10,25
60,50,50,0.0,True,1.0,ieee118,81,10,50
110,50,50,0.0,True,1.0,ieee118,81,10,100
25,50,25,25.0,False,0.5,ieee118,81,25,0
50,50,50,0.0,True,1.0,ieee118,81,25,25
75,50,50,0.0,True,1.0,ieee118,81,25,50
125,50,50,0.0,True,1.0,ieee118,81,25,100
50,50,50,0.0,True,1.0,ieee118,81,50,0
75,50,50,0.0,True,1.0,ieee118,81,50,25
100,50,50,0.0,True,1.0,ieee118,81,50,50
150,50,50,0.0,True,1.0,ieee118,81,50,100
10,100,10,90.0,False,0.1,ieee118,81,10,0
35,100,35,65.0,False,0.35,ieee118,81,10,25
60,100,60,40.0,False,0.6,ieee118,81,10,50
110,100,100,0.0,True,1.0,ieee118,81,10,100
25,100,25,75.0,False,0.25,ieee118,81,25,0
50,100,50,50.0,False,0.5,ieee118,81,25,25
75,100,75,25.0,False,0.75,ieee118,81,25,50
125,100,100,0.0,True,1.0,ieee118,81,25,100
50,100,50,50.0,False,0.5,ieee118,81,50,0
75,100,75,25.0,False,0.75,ieee118,81,50,25
100,100,100,0.0,True,1.0,ieee118,81,50,50
150,100,100,0.0,True,1.0,ieee118,81,50,100
10,25,10,15.0,False,0.4,ieee118,83,10,0
35,25,25,0.0,True,1.0,ieee118,83,10,25
60,25,25,0.0,True,1.0,ieee118,83,10,50
110,25,25,0.0,True,1.0,ieee118,83,10,100
25,25,25,0.0,True,1.0,ieee118,83,25,0
50,25,25,0.0,True,1.0,ieee118,83,25,25
75,25,25,0.0,True,1.0,ieee118,83,25,50
125,25,25,0.0,True,1.0,ieee118,83,25,100
50,25,25,0.0,True,1.0,ieee118,83,50,0
75,25,25,0.0,True,1.0,ieee118,83,50,25
100,25,25,0.0,True,1.0,ieee118,83,50,50
150,25,25,0.0,True,1.0,ieee118,83,50,100
10,50,10,40.0,False,0.2,ieee118,83,10,0
35,50,35,15.0,False,0.7,ieee118,83,10,25
60,50,50,0.0,True,1.0,ieee118,83,10,50
110,50,50,0.0,True,1.0,ieee118,83,10,100
25,50,25,25.0,False,0.5,ieee118,83,25,0
50,50,50,0.0,True,1.0,ieee118,83,25,25
75,50,50,0.0,True,1.0,ieee118,83,25,50
125,50,50,0.0,True,1.0,ieee118,83,25,100
50,50,50,0.0,True,1.0,ieee118,83,50,0
75,50,50,0.0,True,1.0,ieee118,83,50,25
100,50,50,0.0,True,1.0,ieee118,83,50,50
150,50,50,0.0,True,1.0,ieee118,83,50,100
10,100,10,90.0,False,0.1,ieee118,83,10,0
35,100,35,65.0,False,0.35,ieee118,83,10,25
60,100,60,40.0,False,0.6,ieee118,83,10,50
110,100,100,0.0,True,1.0,ieee118,83,10,100
25,100,25,75.0,False,0.25,ieee118,83,25,0
50,100,50,50.0,False,0.5,ieee118,83,25,25
75,100,75,25.0,False,0.75,ieee118,83,25,50
125,100,100,0.0,True,1.0,ieee118,83,25,100
50,100,50,50.0,False,0.5,ieee118,83,50,0
75,100,75,25.0,False,0.75,ieee118,83,50,25
100,100,100,0.0,True,1.0,ieee118,83,50,50
150,100,100,0.0,True,1.0,ieee118,83,50,100
10,25,10,15.0,False,0.4,ieee118,85,10,0
35,25,25,0.0,True,1.0,ieee118,85,10,25
60,25,25,0.0,True,1.0,ieee118,85,10,50
110,25,25,0.0,True,1.0,ieee118,85,10,100
25,25,25,0.0,True,1.0,ieee118,85,25,0
50,25,25,0.0,True,1.0,ieee118,85,25,25
75,25,25,0.0,True,1.0,ieee118,85,25,50
125,25,25,0.0,True,1.0,ieee118,85,25,100
50,25,25,0.0,True,1.0,ieee118,85,50,0
75,25,25,0.0,True,1.0,ieee118,85,50,25
100,25,25,0.0,True,1.0,ieee118,85,50,50
150,25,25,0.0,True,1.0,ieee118,85,50,100
10,50,10,40.0,False,0.2,ieee118,85,10,0
35,50,35,15.0,False,0.7,ieee118,85,10,25
60,50,50,0.0,True,1.0,ieee118,85,10,50
110,50,50,0.0,True,1.0,ieee118,85,10,100
25,50,25,25.0,False,0.5,ieee118,85,25,0
50,50,50,0.0,True,1.0,ieee118,85,25,25
75,50,50,0.0,True,1.0,ieee118,85,25,50
125,50,50,0.0,True,1.0,ieee118,85,25,100
50,50,50,0.0,True,1.0,ieee118,85,50,0
75,50,50,0.0,True,1.0,ieee118,85,50,25
100,50,50,0.0,True,1.0,ieee118,85,50,50
150,50,50,0.0,True,1.0,ieee118,85,50,100
10,100,10,90.0,False,0.1,ieee118,85,10,0
35,100,35,65.0,False,0.35,ieee118,85,10,25
60,100,60,40.0,False,0.6,ieee118,85,10,50
110,100,100,0.0,True,1.0,ieee118,85,10,100
25,100,25,75.0,False,0.25,ieee118,85,25,0
50,100,50,50.0,False,0.5,ieee118,85,25,25
75,100,75,25.0,False,0.75,ieee118,85,25,50
125,100,100,0.0,True,1.0,ieee118,85,25,100
50,100,50,50.0,False,0.5,ieee118,85,50,0
75,100,75,25.0,False,0.75,ieee118,85,50,25
100,100,100,0.0,True,1.0,ieee118,85,50,50
150,100,100,0.0,True,1.0,ieee118,85,50,100
10,25,10,15.0,False,0.4,ieee118,105,10,0
35,25,25,0.0,True,1.0,ieee118,105,10,25
60,25,25,0.0,True,1.0,ieee118,105,10,50
110,25,25,0.0,True,1.0,ieee118,105,10,100
25,25,25,0.0,True,1.0,ieee118,105,25,0
50,25,25,0.0,True,1.0,ieee118,105,25,25
75,25,25,0.0,True,1.0,ieee118,105,25,50
125,25,25,0.0,True,1.0,ieee118,105,25,100
50,25,25,0.0,True,1.0,ieee118,105,50,0
75,25,25,0.0,True,1.0,ieee118,105,50,25
100,25,25,0.0,True,1.0,ieee118,105,50,50
150,25,25,0.0,True,1.0,ieee118,105,50,100
10,50,10,40.0,False,0.2,ieee118,105,10,0
35,50,35,15.0,False,0.7,ieee118,105,10,25
60,50,50,0.0,True,1.0,ieee118,105,10,50
110,50,50,0.0,True,1.0,ieee118,105,10,100
25,50,25,25.0,False,0.5,ieee118,105,25,0
50,50,50,0.0,True,1.0,ieee118,105,25,25
75,50,50,0.0,True,1.0,ieee118,105,25,50
125,50,50,0.0,True,1.0,ieee118,105,25,100
50,50,50,0.0,True,1.0,ieee118,105,50,0
75,50,50,0.0,True,1.0,ieee118,105,50,25
100,50,50,0.0,True,1.0,ieee118,105,50,50
150,50,50,0.0,True,1.0,ieee118,105,50,100
10,100,10,90.0,False,0.1,ieee118,105,10,0
35,100,35,65.0,False,0.35,ieee118,105,10,25
60,100,60,40.0,False,0.6,ieee118,105,10,50
110,100,100,0.0,True,1.0,ieee118,105,10,100
25,100,25,75.0,False,0.25,ieee118,105,25,0
50,100,50,50.0,False,0.5,ieee118,105,25,25
75,100,75,25.0,False,0.75,ieee118,105,25,50
125,100,100,0.0,True,1.0,ieee118,105,25,100
50,100,50,50.0,False,0.5,ieee118,105,50,0
75,100,75,25.0,False,0.75,ieee118,105,50,25
100,100,100,0.0,True,1.0,ieee118,105,50,50
150,100,100,0.0,True,1.0,ieee118,105,50,100
10,25,10,15.0,False,0.4,ieee118,112,10,0
35,25,25,0.0,True,1.0,ieee118,112,10,25
60,25,25,0.0,True,1.0,ieee118,112,10,50
110,25,25,0.0,True,1.0,ieee118,112,10,100
25,25,25,0.0,True,1.0,ieee118,112,25,0
50,25,25,0.0,True,1.0,ieee118,112,25,25
75,25,25,0.0,True,1.0,ieee118,112,25,50
125,25,25,0.0,True,1.0,ieee118,112,25,100
50,25,25,0.0,True,1.0,ieee118,112,50,0
75,25,25,0.0,True,1.0,ieee118,112,50,25
100,25,25,0.0,True,1.0,ieee118,112,50,50
150,25,25,0.0,True,1.0,ieee118,112,50,100
10,50,10,40.0,False,0.2,ieee118,112,10,0
35,50,35,15.0,False,0.7,ieee118,112,10,25
60,50,50,0.0,True,1.0,ieee118,112,10,50
110,50,50,0.0,True,1.0,ieee118,112,10,100
25,50,25,25.0,False,0.5,ieee118,112,25,0
50,50,50,0.0,True,1.0,ieee118,112,25,25
75,50,50,0.0,True,1.0,ieee118,112,25,50
125,50,50,0.0,True,1.0,ieee118,112,25,100
50,50,50,0.0,True,1.0,ieee118,112,50,0
75,50,50,0.0,True,1.0,ieee118,112,50,25
100,50,50,0.0,True,1.0,ieee118,112,50,50
150,50,50,0.0,True,1.0,ieee118,112,50,100
10,100,10,90.0,False,0.1,ieee118,112,10,0
35,100,35,65.0,False,0.35,ieee118,112,10,25
60,100,60,40.0,False,0.6,ieee118,112,10,50
110,100,100,0.0,True,1.0,ieee118,112,10,100
25,100,25,75.0,False,0.25,ieee118,112,25,0
50,100,50,50.0,False,0.5,ieee118,112,25,25
75,100,75,25.0,False,0.75,ieee118,112,25,50
125,100,100,0.0,True,1.0,ieee118,112,25,100
50,100,50,50.0,False,0.5,ieee118,112,50,0
75,100,75,25.0,False,0.75,ieee118,112,50,25
100,100,100,0.0,True,1.0,ieee118,112,50,50
150,100,100,0.0,True,1.0,ieee118,112,50,100
